高雄市前鎮區三多三路213號 22.6144461,120.3067782 11:00 - 22:00
高雄市前鎮區三多三路217號 22.6142515,120.3060061 11:00 - 22:00
高雄市苓雅區三多四路21號 22.6130726,120.3039507 11:00 - 22:00
高雄市新興區五福路及中山路口 22.6237627,120.3014626 11:00 - 22:00
高雄市前金區成功一路266-1號 22.6193292,120.2959226 11:00 - 22:00
高雄市前金區五福三路57號 22.6217077,120.2982807 11:00 - 22:00
高雄市前鎮區興邦里中華五路789號 22.594848,120.307017 11:00 - 22:00
高雄市左營區博愛二路777號 22.6697552,120.3023717 11:00 - 22:00
高雄市左營區高鐵路123號 22.687617,120.309050 11:00 - 22:00
高雄市大樹區學城路一段12號 22.7296837,120.4065053 11:00 - 22:00
高雄市苓雅區和平一路218號 22.630638,120.318019 11:00 - 22:00
