高雄建國二路66號 22.6375352,120.310647 00:00 - 24:00
高雄建工路566號 22.650171,120.324684 00:00 - 24:00
高雄山東街70號 22.6425571,120.3115472 07:00 - 23:00
高雄覺民路362號 22.6406613,120.3342865 00:00 - 24:00
高雄鼎山街373號 22.657295,120.321635 00:00 - 24:00
高雄義和里鳳屏二路297號 22.6403959,120.4052377 07:00 - 21:00
高雄山頂里鳳林三路616號 22.6088501,120.3945427 06:30 - 22:30
高雄統嶺里統嶺路125號之2 22.7722504,120.4335742 07:00 - 21:00
高雄檨腳里中興北路184號 22.6977675,120.4336058 07:00 - 21:00
高雄大業北路45號 22.568198,120.343805 07:00 - 23:00
高雄鳳華路1號 22.5245608,120.3499206 07:00 - 21:00
高雄沿海二路2號 22.5432867,120.3707625 07:00 - 22:00
高雄鳳仁路282號 22.7034641,120.344291 00:00 - 24:00
高雄南屏路125號 22.9209656,120.4555618 07:00 - 21:00
高雄光復路308號 22.9912389,120.636177 07:00 - 21:00
高雄中華一路2-11號 22.6711696,120.2863677 00:00 - 24:00
高雄維新里保安路47號 22.8067495,120.244113 07:00 - 21:00
高雄維新里維新路18-1號 22.808286,120.257239 06:30 - 22:00
高雄大田里新興路55號 23.0776752,120.5825687 07:00 - 21:00
高雄月眉里清水路304號 22.9704106,120.5381861 07:00 - 21:00
高雄介壽東路83號 22.7861526,120.3134811 06:00 - 23:00
高雄岡山南路45號 22.7830888,120.2976941 00:00 - 24:00
高雄林園北路350號 22.5120416,120.3950075 07:00 - 22:00
高雄港埔里沿海路四段1號 22.500021,120.386064 07:00 - 22:00
高雄阿蓮里中山路351號 22.8742865,120.3265035 00:00 - 24:00
高雄中正四路251號 22.6276072,120.2910656 00:00 - 24:00
高雄河南二路87號 22.6352916,120.2957265 07:00 - 21:00
高雄中華三路136號 22.6307339,120.2958139 00:00 - 24:00
高雄成功一路384號 22.623422,120.2941498 07:00 - 23:00
高雄中山二路569號 22.6217924,120.3013339 07:00 - 23:00
高雄擴建路1-1號 22.591512,120.306132 07:00 - 22:00
高雄一心一路291號 22.6097892,120.3134558 00:00 - 24:00
高雄大華六街1號 22.606072,120.2913427 12:00)	08:00 - 16:00
高雄漁港南一路19-1號 22.5684496,120.3177548 07:00 - 21:00
高雄漁港路2號 22.5785219,120.3186418 00:00 - 24:00
高雄瑞福路2號 22.604674,120.336653 00:00 - 24:00
高雄和合里成功路133號 22.8940481,120.5468811 06:30 - 21:30
高雄白雲里白砂路6號 22.9074579,120.1839561 07:00 - 21:00
高雄三多三路264號 22.6143425,120.3052776 07:00 - 23:00
高雄建國一路142號 22.632751,120.329979 00:00 - 24:00
高雄民權一路105號 22.623061,120.311883 07:00 - 23:00
高雄建國一路3號 22.6283376,120.3427115 00:00 - 24:00
高雄永定街93號 22.619274,120.311433 07:00 - 22:00
高雄三多二路80號 22.621368,120.3268344 07:00 - 23:00
高雄信蚵里通港路通港巷1號 22.7244574,120.2534582 09:00 - 18:00
高雄大湖里中山路一段72號 22.8789514,120.2512953 00:00 - 24:00
高雄中正二路166號 22.6305164,120.3170178 07:00 - 23:00
高雄新田路82號 22.6230728,120.3057107 07:00 - 23:00
高雄中正三路9號 22.6306181,120.3103795 07:00 - 23:00
高雄軍校路737號 22.708676,120.292899 06:30 - 22:00
高雄經五路125號 22.7220984,120.3015358 07:30 - 18:00
高雄高雄市楠梓區左楠路2-1號 22.6995125,120.3028745 07:00 - 22:00
高雄後昌路200號 22.7165201,120.3097525 00:00 - 24:00
高雄高楠公路1376號 22.719489,120.325341 07:00 - 22:00
高雄中山路589號 22.7307662,120.3569312 07:00 - 21:00
