捷運小港站 22.5648119,120.3538521 06:00 - 24:00
捷運高雄國際機場站 22.570119,120.342133 06:00 - 24:00
捷運草衙站 22.580351,120.3284408 06:00 - 24:00
捷運前鎮高中站 22.588351,120.321745 06:00 - 24:00
捷運凱旋站 22.5968391,120.3151478 06:00 - 24:00
捷運獅甲站 22.60592,120.308181 06:00 - 24:00
捷運三多商圈站 22.6138354,120.3046764 06:00 - 24:00
捷運中央公園站 22.624646,120.301177 06:00 - 24:00
捷運美麗島站 22.631386,120.301951 06:00 - 24:00
捷運高雄車站 22.6396626,120.3027023 06:00 - 24:00
捷運後驛站 22.64825,120.3031 06:00 - 24:00
捷運凹子底站 22.6571882,120.3030886 06:00 - 24:00
捷運巨蛋站 22.666224,120.303315 06:00 - 24:00
捷運生態園區站 22.6768103,120.3066935 06:00 - 24:00
捷運左營站 22.6881684,120.3090877 06:00 - 24:00
捷運世運站 22.70145,120.30236 06:00 - 24:00
捷運油廠國小站 22.7081659,120.3023161 06:00 - 24:00
捷運楠梓加工區站 22.718696,120.307184 06:00 - 24:00
捷運後勁站 22.722348,120.316309 06:00 - 24:00
捷運都會公園站 22.7293266,120.3210486 06:00 - 24:00
捷運青埔站 22.744664,120.3177012 06:00 - 24:00
捷運橋頭糖場站 22.7534237,120.3145523 06:00 - 24:00
捷運橋頭火車站 22.7609461,120.310522 06:00 - 24:00
捷運南岡山站 22.780635,120.301735 06:00 - 24:00
捷運西子灣站 22.6215405,120.2745284 06:00 - 24:00
捷運鹽埕埔站 22.6235014,120.2837767 06:00 - 24:00
捷運市議會(舊址)站 22.6289975,120.2950923 06:00 - 24:00
捷運信義國小站 22.630744,120.311618 06:00 - 24:00
捷運文化中心站 22.630305,120.317595 06:00 - 24:00
捷運五塊厝站 22.629565,120.327695 06:00 - 24:00
捷運技擊館站 22.627314,120.334583 06:00 - 24:00
捷運衛武營站 22.625131,120.341061 06:00 - 24:00
捷運鳳山西站 22.625345,120.34833 06:00 - 24:00
捷運鳳山站 22.626005,120.355365 06:00 - 24:00
捷運大東站 22.625265,120.363395 06:00 - 24:00
捷運鳳山國中站 22.62491,120.372485 06:00 - 24:00
捷運大寮站 22.622175,120.390521 06:00 - 24:00
