高雄市左營區站前北路1號2樓 22.6875442,120.3067878 07:00 - 22:00
高雄市苓雅區三多二路193號 22.619711,120.322748 07:00 - 23:00
高雄市前鎮區中華五路1111號 22.6050663,120.3049119 09:30 - 22:00
高雄市三民區十全一路161號1樓 22.6448345,120.3094393 07:00 - 24:00
高雄市三民區建國三路23號 22.63769,120.30152 07:00 - 23:30
高雄市三民區大順二路246號 22.644438,120.3263479 07:00 - 24:00
高雄市楠梓區後昌路838號 22.7114282,120.2954255 07:00 - 23:00
高雄市楠梓區建楠路150-152號 22.727254,120.326757 09:30 - 24:00
高雄市小港區沿海一路145號 22.567494,120.351637 09:00 - 23:00
高雄市左營區自由二路173號 22.6606019,120.3086941 07:00 - 24:00
高雄市岡山區岡山路271號 22.793915,120.295484 07:00 - 23:00
高雄市鳳山區中山路215號 22.6245857,120.3568706 06:50 - 23:00
高雄市鳳山區五甲三路211號&五福二路1號 22.58988,120.324192 06:50 - 23:00
