新興區五福二路258號 22.6237085,120.3021506 00:00 - 24:00
前金區五福三路31號 22.6219083,120.2990796 00:00 - 24:00
前金區成功一路266之1號B3 22.6193241,120.295871 00:00 - 24:00
三民區建國三路15-1號 22.637663,120.301727 00:00 - 24:00
三民區建國二路318號2樓 22.6396247,120.2997985 00:00 - 24:00
苓雅區尚義街1號 22.6280753,120.3154252 00:00 - 24:00
前鎮區三多三路213號B2 22.6144461,120.3067782 00:00 - 24:00
苓雅區三多四路21號B1 22.6130726,120.3039507 00:00 - 24:00
鹽埕區大勇路120號 22.6251754,120.2847507 00:00 - 24:00
前金區河東路356號1樓 22.6340377,120.285907 00:00 - 24:00
三民區十全一路197號 22.6449644,120.308196 00:00 - 24:00
三民區九如一路780號 22.6399812,120.3207282 00:00 - 24:00
前鎮區一心一路374號1樓 22.608943,120.316344 00:00 - 24:00
苓雅區建國一路306號1樓 22.6329395,120.3255281 00:00 - 24:00
三民區灣中里25鄰建工路732號 22.6486061,120.3198152 00:00 - 24:00
三民區大順二路849號1樓 22.6532977,120.318948 00:00 - 24:00
前鎮區中華五路789號B1 22.595873,120.3076234 00:00 - 24:00
左營區新上里博愛二路226號 22.6602077,120.3033389 00:00 - 24:00
前鎮區瑞隆路432號1樓 22.6054819,120.3296049 00:00 - 24:00
三民區明誠二路50號 22.6600428,120.3138049 00:00 - 24:00
鼓山區美術東二路157號 22.6615904,120.2884588 00:00 - 24:00
鼓山區博愛二路363號 22.6644183,120.3030514 00:00 - 24:00
三民區陽明路67號1樓 22.63908,120.341198 00:00 - 24:00
三民區天祥一路150號 22.6678632,120.3188901 00:00 - 24:00
三民區本揚里24鄰澄清路550號 22.6425659,120.3461149 00:00 - 24:00
左營區新光里14鄰博愛三路225號 22.6743992,120.3050149 00:00 - 24:00
鳳山區光遠路262之1號 22.6255573,120.3621114 00:00 - 24:00
鳳山區中山路179號 22.6233122,120.3573565 00:00 - 24:00
鳳山區建國路3段2號 22.6366107,120.3565776 00:00 - 24:00
鳥松區大埤路123號B1 22.6493624,120.3526317 00:00 - 24:00
左營區左營大路81號 22.6822692,120.2881506 00:00 - 24:00
左營區高鐵路115號3樓 22.6877345,120.3094095 00:00 - 24:00
鳳山區鳳頂路50號 22.5861356,120.3588334 00:00 - 24:00
鳥松區中正路251號 22.5861356,120.3588334 00:00 - 24:00
仁武區鳳仁路95之25號 22.6881239,120.351557 00:00 - 24:00
小港區沿海一路57號 22.5691065,120.3501384 00:00 - 24:00
大寮區鳳林四路238號1樓 22.6184381,120.3839649 00:00 - 24:00
楠梓區軍校路796號1樓 22.7098954,120.2929308 00:00 - 24:00
楠梓區後昌路109號1樓 22.7188281,120.3107375 00:00 - 24:00
楠梓區建楠路160號 22.7271172,120.326581 00:00 - 24:00
橋頭區成功南路281號 22.7512033,120.3134563 00:00 - 24:00
大樹區學城路1段12號C棟3樓 22.7292024,120.406381 00:00 - 24:00
林園區沿海路2段300號 22.5003927,120.3936458 00:00 - 24:00
岡山區中山北路89號 22.7965192,120.2983826 00:00 - 24:00
岡山區壽天路122之1號 22.7946129,120.290861 00:00 - 24:00
