高雄市鹽埕區建國四路312號 22.6322246,120.2841085 00:00 - 24:00
高雄市鳳山區埤頂里建國路一段79號1樓 22.635574,120.376181 00:00 - 24:00
高雄市鳳山區鎮南里五甲二路744號 22.5938465,120.3287557 00:00 - 24:00
高雄市鳳山區文福里文化西路35號1樓 22.6351558,120.3475781 00:00 - 24:00
高雄市鳳山區文衡里八德路305號1樓 22.6386786,120.3548612 00:00 - 24:00
高雄市鳳山區鎮北里鳳北路60之17號 22.6412527,120.3672555 00:00 - 24:00
高雄市鳳山區文衡里文衡路343號 22.6404062,120.3523448 00:00 - 24:00
高雄市鳳山區文福里建國路三段295號 22.6372905,120.3507499 00:00 - 24:00
高雄市鳳山區文德里文衡路558號1樓 22.6416867,120.347694 00:00 - 24:00
高雄市鳳山區五甲二路232號 22.600926,120.339673 00:00 - 24:00
高雄市鳳山區誠義路2號 22.6075883,120.3607131 00:00 - 24:00
高雄市鳳山區文山里八德路二段116號 22.6431512,120.3549735 00:00 - 24:00
高雄市鳳山區國隆里新富路590巷13號15號 22.614266,120.3495169 00:00 - 24:00
高雄市鳳山區忠義里中山西路398號400號 22.6293,120.340312 00:00 - 24:00
高雄市鳳山區新富路385號1樓 22.6159513,120.3485398 00:00 - 24:00
高雄市鳳山區南和里16鄰林森路203號 22.594697,120.334665 00:00 - 24:00
高雄市鳳山區鎮南里龍成路242-1號 22.5992086,120.3307956 00:00 - 24:00
高雄市鳳山區瑞興里瑞興路250-1號1樓 22.6279987,120.3667631 00:00 - 24:00
高雄市鳳山區文英里文衡路50號1樓 22.6333968,120.3582166 00:00 - 24:00
高雄市鳳山區二甲里鳳南一路25號27號 22.593517,120.340605 00:00 - 24:00
高雄市鳳山區杭州西街111號1樓 22.6198812,120.3741047 00:00 - 24:00
高雄市鳳山區過埤里過埤路170號 22.5901647,120.3631192 00:00 - 24:00
高雄市鳳山區曹公里曹公路59號 22.6290554,120.3570207 00:00 - 24:00
高雄市鳳山區過埤里鳳頂路285號1樓 22.593015,120.358690 00:00 - 24:00
高雄市鳳山區北門里鳳松路108.110.112號1樓 22.633851,120.36168 00:00 - 24:00
高雄市鳳山區文山里八德路197號 22.638173,120.358099 00:00 - 24:00
高雄市林園區西溪路133-30號 22.488969,120.395196 00:00 - 24:00
高雄市林園區廣應里王公路341號343號 22.507707,120.388485 00:00 - 24:00
高雄市林園區中門里中門路15-1號 22.504766,120.371690 00:00 - 24:00
高雄市林園區東林西路1號3號5號 22.5035331,120.3957273 00:00 - 24:00
高雄市林園區港嘴里沿海路三段237號 22.500021,120.386708 00:00 - 24:00
高雄市林園區東林里鳳林路一段169號1樓 22.506125,120.396559 00:00 - 24:00
高雄市林園區鳳林路一段2號1樓 22.501182,120.398580 00:00 - 24:00
高雄市鼓山區明誠里明華路204號 22.6630643,120.2971861 00:00 - 24:00
高雄市鼓山區明誠四路23號 22.6609972,120.2913843 00:00 - 24:00
高雄市鼓山區美術館路73號1樓 22.6546219,120.2910635 00:00 - 24:00
高雄市鼓山區龍水里美術東二路103號1樓 22.654244,120.287913 00:00 - 24:00
高雄市鼓山區裕誠路1946號1樓 22.658783,120.294032 00:00 - 24:00
高雄市鼓山區鼓山二路125之1號127號127之1號1樓 22.635873,120.281342 00:00 - 24:00
高雄市鼓山區峰南里臨海一路21之3號附5 22.6221292,120.2740915 00:00 - 24:00
高雄市左營區菜公里文自路512-1號 22.6791758,120.3110868 00:00 - 24:00
高雄市左營區曾子路1號 22.6758686,120.3124619 00:00 - 24:00
高雄市左營區重信路601號 22.685914,120.30846 00:00 - 24:00
高雄市左營區福山里自由四路171號 22.683011,120.314454 00:00 - 24:00
高雄市左營區福山里華夏路1152號1樓 22.683776,120.308789 00:00 - 24:00
高雄市左營區新光里華夏路979號 22.681138,120.304974 00:00 - 24:00
高雄市左營區忠言路174號 22.658389,120.3040304 00:00 - 24:00
高雄市左營區民族一路1084號 22.6880107,120.3210892 00:00 - 24:00
高雄市左營區左營大路14-5號 22.6801601,120.2876422 00:00 - 24:00
高雄市左營區福山里榮總路175號1樓 22.6810562,120.3215911 00:00 - 24:00
高雄市左營區福山里民族一路1014號1樓 22.680282,120.319583 00:00 - 24:00
高雄市大寮區會社里鳳林三路405號407號409號 22.603026,120.396509 00:00 - 24:00
高雄市大寮區永芳里永芳路41-3號 22.613696,120.404796 00:00 - 24:00
高雄市大寮區大寮里大寮路903號 22.591059,120.419654 00:00 - 24:00
高雄市大寮區會社里1鄰鳳林三路1之10號 22.593395,120.402197 00:00 - 24:00
高雄市大寮區自由路1號 22.614386,120.388615 00:00 - 24:00
高雄市大寮區義仁里鳳林一路51巷5號1樓 22.539663,120.403570 00:00 - 24:00
高雄市大寮區後庄村成功路43號 22.637491,120.391166 00:00 - 24:00
高雄市大寮區義和里義和路111-50號1樓 22.6401162,120.4184627 00:00 - 24:00
高雄市大寮區大寮路688號 22.591415,120.415090 00:00 - 24:00
高雄市大寮區新厝里鳳林二路136號 22.561417,120.412029 00:00 - 24:00
高雄市大寮區潮寮里華中南路275號 22.562746,120.428893 00:00 - 24:00
高雄市大樹區久堂里城隍巷15-8號 22.659676,120.421214 00:00 - 24:00
高雄市大樹區溪埔里溪埔路369號370號 22.727744,120.444777  00:00 - 24:00
高雄市楠梓區國昌里德民路900號902號 22.7212646,120.2897448 00:00 - 24:00
高雄市楠梓區後昌路858之2號1樓 22.7121781,120.2947623 00:00 - 24:00
高雄市楠梓區清豐里常德路287號 22.7365468,120.3368755 00:00 - 24:00
高雄市楠梓區瑞屏路80之5號之6號之7號1樓 22.724019,120.311283 00:00 - 24:00
高雄市楠梓區土庫路120號1樓 22.7379971,120.331491 00:00 - 24:00
高雄市楠梓區翠屏里惠民路88號1樓 22.724303,120.297455 00:00 - 24:00
高雄市楠梓區裕昌里右昌街468號1樓 22.7167471,120.2876691 00:00 - 24:00
高雄市楠梓區錦屏里後昌路115號1樓 22.718637,120.310684 00:00 - 24:00
高雄市楠梓區創新路1號 22.7396733,120.3232811 00:00 - 24:00
高雄市楠梓區中陽里楠梓新路188號188-1號1樓 22.726557,120.325035 00:00 - 24:00
